temperature,humidity,pm25,pm10,no2,so2,co,industrial_proximity,population_density,air_quality,timestamp,latitude,longitude
25.3,44.4,21.4,29.0,23.7,5.7,0.89,11.6,241,Good,2024-08-25 05:48:49.638632,40.643470714824694,-73.8156869950405
25.9,78.2,14.2,22.1,34.8,7.8,1.63,9.6,379,Moderate,2024-08-25 06:48:49.638632,40.74581995254063,-74.03730683081203
28.1,96.9,6.9,25.0,25.3,10.8,1.54,5.7,709,Moderate,2024-08-25 07:48:49.638632,40.66298903261238,-73.90991030552694
31.1,61.0,27.1,31.1,13.0,3.8,0.98,13.4,278,Good,2024-08-25 09:48:49.638632,40.83247648707962,-73.98183289639233
34.9,77.7,32.3,47.1,17.4,11.5,1.63,8.8,541,Moderate,2024-08-25 10:48:49.638632,40.79724263610047,-73.8210976678909
29.8,56.7,6.8,14.0,23.0,4.5,1.1,11.4,567,Good,2024-08-25 11:48:49.638632,40.73934420637713,-74.02324781963735
31.8,80.2,22.4,34.1,29.7,4.9,1.22,9.4,580,Moderate,2024-08-25 12:48:49.638632,40.61748290264194,-73.8008679839404
26.5,43.0,18.8,18.4,17.6,2.1,1.08,10.6,426,Good,2024-08-25 15:48:49.638632,40.759533720195215,-73.94286924394845
26.2,63.4,14.7,21.1,19.1,3.7,1.15,14.2,305,Good,2024-08-25 16:48:49.638632,40.74799062373518,-73.99660485855617
26.8,72.5,2.4,12.8,26.4,13.2,1.38,6.5,484,Moderate,2024-08-25 18:48:49.638632,40.712439197509944,-74.08906642118627
28.0,70.3,2.9,8.3,24.7,8.0,0.82,10.5,308,Good,2024-08-25 19:48:49.638632,40.99874932702397,-73.96667453196613
31.4,54.3,25.6,34.5,37.0,14.9,1.32,8.3,632,Moderate,2024-08-25 20:48:49.638632,40.663011831697055,-74.01712679727814
24.4,53.7,1.6,4.6,24.9,6.0,0.93,10.6,253,Good,2024-08-25 21:48:49.638632,40.94550448263736,-73.73447936275315
41.5,94.0,62.1,79.4,30.0,20.0,2.8,7.8,547,Hazardous,2024-08-25 22:48:49.638632,40.714670835026844,-73.97259336524968
22.8,56.6,9.8,15.4,13.8,4.3,1.11,11.7,372,Good,2024-08-25 23:48:49.638632,40.77803132409057,-74.2081318550668
28.5,74.4,14.1,30.3,33.8,23.3,2.45,3.6,422,Poor,2024-08-26 00:48:49.638632,40.66554634247495,-74.08126316777077
20.5,45.2,16.9,21.6,26.2,4.9,1.08,10.1,236,Good,2024-08-26 01:48:49.638632,40.795783191422764,-74.10500038352096
25.1,67.2,16.3,21.1,19.9,7.6,0.83,10.0,471,Good,2024-08-26 02:48:49.638632,40.747110260062314,-74.13999530385492
34.6,97.6,52.6,69.2,33.1,11.4,2.2,4.6,537,Poor,2024-08-26 03:48:49.638632,40.68059571758376,-74.12055200955388
32.5,72.1,26.5,42.4,35.3,2.0,1.94,5.6,510,Poor,2024-08-26 04:48:49.638632,40.79122107944956,-73.92240266731052
29.4,52.6,0.3,8.0,25.2,6.5,0.98,10.9,429,Good,2024-08-26 05:48:49.638632,40.73611719081088,-74.11012125071906
30.8,60.9,0.5,20.6,36.1,11.2,2.13,4.0,627,Poor,2024-08-26 06:48:49.638632,40.73254744692899,-73.99399130827261
28.5,87.8,6.0,15.5,35.2,13.1,1.14,5.0,610,Moderate,2024-08-26 07:48:49.638632,40.66803004641677,-74.05186661706546
26.1,82.7,19.9,37.5,36.7,12.0,1.5,4.3,706,Poor,2024-08-26 08:48:49.638632,40.77358768404959,-74.04469075794592
28.9,61.7,2.7,7.1,35.3,7.8,1.45,6.0,439,Moderate,2024-08-26 09:48:49.638632,40.704027869170446,-74.00834474258805
23.8,76.4,0.2,7.2,20.3,7.5,1.03,11.3,280,Good,2024-08-26 10:48:49.638632,40.76848222896168,-73.93665637861062
29.5,85.9,13.6,33.2,18.7,14.4,1.78,6.6,397,Moderate,2024-08-26 11:48:49.638632,40.72480408965184,-73.94248035485961
46.8,77.8,25.2,45.5,38.9,19.4,2.66,4.4,830,Hazardous,2024-08-26 12:48:49.638632,40.79124491533741,-74.2068439418624
29.9,81.0,3.9,14.9,25.2,10.9,1.24,6.4,366,Moderate,2024-08-26 13:48:49.638632,40.95078543323599,-73.84474056199328
35.4,85.4,6.2,21.7,30.9,8.9,1.69,8.9,601,Moderate,2024-08-26 14:48:49.638632,40.758727358415484,-73.92809126482051
29.3,57.3,13.7,23.6,28.3,12.0,1.87,7.0,657,Moderate,2024-08-26 15:48:49.638632,40.56241878851766,-74.03647436443556
38.4,70.3,1.4,13.2,29.4,10.6,1.74,6.3,406,Moderate,2024-08-26 16:48:49.638632,40.678443554907936,-74.04046992448794
32.8,57.7,11.1,22.9,25.7,8.4,1.23,8.4,398,Moderate,2024-08-26 17:48:49.638632,40.64526894189579,-74.06956425242197
24.3,66.2,71.6,76.4,14.9,6.0,1.03,11.2,325,Good,2024-08-26 19:48:49.638632,40.81392985314665,-74.03068610922945
32.9,74.8,4.9,9.6,22.3,9.9,1.71,6.0,339,Moderate,2024-08-26 20:48:49.638632,40.755311458053654,-73.98424864931837
26.8,90.0,40.8,65.7,33.3,24.0,2.55,10.8,672,Poor,2024-08-26 21:48:49.638632,40.66979865918307,-73.94520626154541
27.2,75.6,13.5,21.6,27.1,16.2,1.77,5.5,396,Moderate,2024-08-26 22:48:49.638632,40.58341602977711,-74.1517201493779
35.4,90.6,7.5,27.8,27.2,26.1,2.29,4.3,754,Poor,2024-08-26 23:48:49.638632,40.72841737138555,-74.09544311932176
29.6,98.5,61.5,87.6,44.3,12.9,2.28,6.1,711,Poor,2024-08-27 00:48:49.638632,40.61276144099127,-73.99139643901344
26.9,40.0,15.7,18.9,14.2,4.1,1.17,10.7,598,Good,2024-08-27 01:48:49.638632,40.75566107494708,-74.20653380894885
31.6,59.5,55.3,51.2,25.4,7.2,1.33,5.1,599,Moderate,2024-08-27 02:48:49.638632,40.63097311167278,-74.03757234570513
29.9,78.0,25.4,35.4,37.4,10.6,1.5,6.4,533,Moderate,2024-08-27 03:48:49.638632,40.79370748321675,-73.99412639295996
30.5,85.8,29.7,46.4,27.4,11.1,1.64,6.4,605,Poor,2024-08-27 05:48:49.638632,40.59533789202302,-73.83904782616887
28.6,61.5,19.1,29.3,30.7,6.8,1.61,6.2,376,Moderate,2024-08-27 06:48:49.638632,40.79716809952582,-74.12023546513696
24.2,63.9,6.6,9.1,24.1,2.7,0.93,12.8,369,Good,2024-08-27 07:48:49.638632,40.52858847461631,-73.80178589693824
31.1,58.6,9.7,22.5,30.6,7.2,1.49,10.4,603,Moderate,2024-08-27 08:48:49.638632,40.634199521837346,-73.84093936684387
30.9,65.8,11.8,24.2,26.4,14.1,1.77,6.4,453,Moderate,2024-08-27 09:48:49.638632,40.74506495733258,-74.05148621690938
47.5,84.9,55.8,65.9,39.4,17.8,2.57,5.2,557,Hazardous,2024-08-27 10:48:49.638632,40.68743475426468,-73.99093590258255
27.4,45.5,1.8,11.9,30.8,16.7,1.84,7.2,649,Moderate,2024-08-27 11:48:49.638632,40.73502287019122,-73.86553431081198
19.7,77.9,1.7,10.5,16.9,5.1,0.68,13.5,538,Good,2024-08-27 12:48:49.638632,40.62022693967505,-73.96955893393692
41.2,93.9,12.4,31.2,31.3,18.7,2.16,5.5,568,Poor,2024-08-27 13:48:49.638632,40.636322791317546,-74.01435758371292
27.5,71.0,52.1,64.1,22.0,6.7,1.65,6.6,601,Moderate,2024-08-27 14:48:49.638632,40.84558036406217,-74.04748681216319
29.8,62.1,6.5,11.0,19.3,12.9,1.65,7.7,688,Moderate,2024-08-27 15:48:49.638632,40.802651904187144,-74.08372533699935
27.4,76.9,3.2,10.3,13.7,5.9,1.1,10.6,224,Good,2024-08-27 18:48:49.638632,40.681400483754,-73.99786029467381
21.4,67.9,10.9,13.7,16.1,5.8,1.02,12.7,241,Good,2024-08-27 19:48:49.638632,40.781083868885986,-74.04517411083266
24.2,61.7,3.2,8.8,19.1,5.5,1.21,10.2,406,Good,2024-08-27 20:48:49.638632,40.746484920720675,-74.10026743261463
29.0,56.0,5.5,10.1,14.5,3.7,0.86,13.4,233,Good,2024-08-27 21:48:49.638632,40.78612588380608,-73.96519189206518
26.6,60.0,5.0,15.5,32.8,5.3,1.57,6.9,460,Moderate,2024-08-27 22:48:49.638632,40.55980344200767,-74.05996711729519
30.6,58.2,8.8,13.1,17.5,14.4,1.35,6.3,328,Moderate,2024-08-27 23:48:49.638632,40.69019451970604,-73.97627010456016
20.2,76.5,9.5,13.9,14.3,4.4,0.89,11.1,471,Good,2024-08-28 00:48:49.638632,40.617331084994014,-74.04353616697519
25.5,65.8,20.5,24.1,15.0,4.1,1.03,10.6,543,Good,2024-08-28 01:48:49.638632,40.691823805514446,-74.00155765479367
29.6,64.6,10.6,14.4,20.9,3.1,1.02,11.9,485,Good,2024-08-28 02:48:49.638632,40.52025504593891,-74.0272244254502
38.3,57.0,1.8,12.1,30.1,5.3,1.36,5.8,355,Moderate,2024-08-28 03:48:49.638632,40.57725592313361,-74.00448065714595
33.9,80.4,2.9,13.9,22.3,12.7,1.49,6.2,481,Moderate,2024-08-28 04:48:49.638632,40.875424940238815,-74.11500584765909
44.6,70.1,58.9,79.8,45.1,16.8,2.52,4.1,658,Hazardous,2024-08-28 05:48:49.638632,40.53519297627452,-74.29055014994279
22.8,92.7,22.5,44.6,27.9,26.1,2.32,4.3,732,Poor,2024-08-28 06:48:49.638632,40.8700097635307,-73.83697231910901
29.3,74.3,8.5,19.9,26.7,11.1,1.67,7.4,599,Moderate,2024-08-28 07:48:49.638632,40.87624829091718,-73.97122958682827
35.3,85.4,62.8,68.2,30.3,10.2,1.3,5.0,493,Moderate,2024-08-28 09:48:49.638632,40.817496199072345,-74.10429000179897
27.2,59.2,4.5,8.1,13.9,6.9,1.0,15.6,543,Good,2024-08-28 10:48:49.638632,40.72322770555203,-73.92944811748414
33.8,50.4,15.2,25.0,23.5,7.9,1.71,6.1,407,Moderate,2024-08-28 11:48:49.638632,40.61002706361299,-74.26020326482713
36.4,98.8,15.7,18.1,39.1,12.8,1.95,3.4,541,Poor,2024-08-28 12:48:49.638632,40.47671379234146,-74.1461980998584
22.7,77.3,71.0,77.5,40.1,9.6,1.63,3.5,608,Poor,2024-08-28 13:48:49.638632,40.74642551608188,-74.05569689046234
